EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
22904,LORAIN CO.,ELYRIA,03/14/2007,1832,Tornado, ,EF0,0,0,400000,0,OH,EST-5, ,4085,C,93,CLE,0,0,Emergency Manager, ,2,20,0,N,0,N,ELYRIA,03/14/2007,1836,41.37,-82.1,41.37,-82.1,"A weak tornado briefly touched down along Griswold Road.  The tornado traveled east toward the Midway Mall and created an intermittent damage path approximately two miles long.  The tornado caused damage to several structures along its path. A florist/greenhouse suffered extensive damage as much of its roof was torn off. A garage was destroyed, and the car inside sustained severe damage. Newspaper articles also indicated that vinyl siding was torn from the side of an office supply store, and a shopping cart was blown and shattered a window of a store. Numerous trees and power lines were also taken down. No injuries were reported from this tornado.","A cold front extending through the Great Lakes region into the plains states moved through the area during the late afternoon and evening hours of the 14th. Strong to severe thunderstorms developed ahead of this cold front.",1
25540,BROWN CO.,MACON,04/26/2007,1755,Tornado, ,EF0,0,0,50000,0,OH,EST-5, ,4487,C,15,ILN,0,0,NWS Storm Survey, ,0.5,50,1,NE,1,NE,MACON,04/26/2007,1758,38.9802,-83.7069,38.9802,-83.7069,"A tornado touched down near Tri County Road and continued towards the intersection of Melblanc and Steele Roads in northeast Brown County.  Five to ten trees were either uprooted or were snapped off towards the tops, with additional large limbs and branches knocked down from other trees.  A trampoline was picked up and moved, and a large front porch on a home along Steele Road was torn off with the roof tossed several yards.  Large pieces of siding and roof from at least one barn were carried a hundred yards. This tornado was rated EF-0 with top wind speeds around 80 mph.","Scattered thunderstorms developed across south central Ohio ahead of a cold front during the evening.  An intense supercell developed in northeast Kentucky and crossed the Ohio River into south central Ohio.  The supercell traversed Brown, Adams, Pike and Ross counties and produced three tornadoes.",2
25541,ADAMS CO.,PEEBLES,04/26/2007,1823,Tornado, ,EF1,0,0,70000,0,OH,EST-5, ,4487,C,1,ILN,0,0,NWS Storm Survey, ,1.5,50,1,S,1,SE,PEEBLES,04/26/2007,1827,38.9355,-83.4,38.9398,-83.3869,"A tornado touched down near the intersection of State Routes 32 and 41 just south of the town of Peebles.  A steel structure barn collapsed in this location.  Additional damage was noted about a mile further east near the intersection of State Route 32 and Steam Furnace Road, where an entire roof was peeled off of a home.  The home sustained severe water damage from heavy rain and hail, and had a large front porch and balcony torn off.  In addition, one of the chimneys collapsed when the roof was peeled off.  Several trees were snapped off towards the top along the path of the tornado.  This tornado was rated EF-1 with top wind speeds near 90 mph.","Scattered thunderstorms developed across south central Ohio ahead of a cold front during the evening.  An intense supercell developed in northeast Kentucky and crossed the Ohio River into south central Ohio.  The supercell traversed Brown, Adams, Pike and Ross counties and produced three tornadoes.",3
25542,PIKE CO.,OMEGA,04/26/2007,1925,Tornado, ,EF0,0,0,25000,0,OH,EST-5, ,4487,C,131,ILN,0,0,NWS Storm Survey, ,1,30,2,SW,1,SW,OMEGA,04/26/2007,1928,39.1296,-82.9264,39.1398,-82.9132,"A tornado touched down briefly just southwest of the town of Omega.  Two barns had portions of their roofs lifted off.  The garage doors to both barns were collapsed inward. Two softwood trees were snapped at their bases near the barns.  This tornado was rated EF-0.","Scattered thunderstorms developed across south central Ohio ahead of a cold front during the evening.  An intense supercell developed in northeast Kentucky and crossed the Ohio River into south central Ohio.  The supercell traversed Brown, Adams, Pike and Ross counties and produced three tornadoes.",4
32567,WOOD CO.,PORTAGE,05/01/2007,1450,Tornado, ,EF0,0,0,0,1000,OH,EST-5, ,5529,C,173,CLE,0,0,Fire Department/Rescue, ,0.25,30,1,N,1,N,PORTAGE,05/01/2007,1450,41.3345,-83.65,41.3345,-83.65,"A weak tornado touched down in a field about a mile north of Portage.  The tornado remained on the ground for about a quarter mile and had a path 20 to 30 yards wide.  No damage occurred.","A warm front lifted north into northern Ohio causing widespread showers and thunderstorms to develop during the afternoon hours.  Many of these storms became severe.",5
25721,CLARK CO.,SPRINGFIELD,05/15/2007,2205,Tornado, ,EF0,0,0,20000,0,OH,EST-5, ,4525,C,23,ILN,0,0,NWS Storm Survey, ,0.15,30,3,NE,3,NE,SPRINGFIELD,05/15/2007,2210,39.9507,-83.76,39.9507,-83.76,"A tornado touched down along Moorefield Road, just to the east of State Route 4.  Trees were either uprooted or snapped off towards their tops with additional large limbs down from other trees.  Some minor structural damage occured as well along the 250 yard damage path.  The tornado was rated EF-0 with top wind speeds of 70 mph.","Severe thunderstorms developed during the evening ahead of a cold front.",6
54627,SENECA CO.,BETTSVILLE,08/05/2007,1850,Tornado, ,EF0,0,0,60000,0,OH,EST-5, ,9775,C,147,CLE,0,0,NWS Storm Survey, ,0.75,10,3,SW,3,SSW,BETTSVILLE,08/05/2007,1853,41.2193,-83.2708,41.2099,-83.2521,"A tornado touched down on a farm southwest of Bettsville.  This touchdown occurred along Township Road 154 about a half mile to the west of State Route 635.  A follow-up survey of the damage was conducted and the tornado was determined to be an EF0. The tornado damaged a metal building and a gazebo on the farm.  The barn had one wall completely blown out.  This tornado had a damage path about three quarters of a mile long and no more than 10 yards in width.  A distinct damage path was seen in a corn field east of the farm.","A frontal boundary stretched across northern Ohio during the evening hours of the 5th. This boundary provided a favorable environment that evening for a few thunderstorms to develop across the area that were able to produce a few weak tornadoes.",7
54633,WYANDOT CO.,CAREY,08/05/2007,1942,Tornado, ,EF0,0,0,75000,0,OH,EST-5, ,9775,C,175,CLE,0,0,Law Enforcement, ,0.75,10,1,S,2,SSE,CAREY,08/05/2007,1946,40.9355,-83.37,40.93,-83.359,"A tornado touched down along County Road 25A just south of Carey.  A storm survey was conducted and this tornado was determined to be an EF0.  This tornado damaged a couple of homes and destroyed at least two barns.  The damage path was about three quarters of a mile long and about 10 yards in width.  The tornado lifted near the intesection of County Road 25A and County Road 98B.","A frontal boundary stretched across northern Ohio during the evening hours of the 5th. This boundary provided a favorable environment that evening for a few thunderstorms to develop across the area that were able to produce a few weak tornadoes.",8
55554,RICHLAND CO.,SHELBY,08/09/2007,1506,Tornado, ,EF0,0,0,150000,0,OH,EST-5, ,9855,C,139,CLE,0,0,Trained Spotter, ,0.75,20,0,N,0,N,SHELBY,08/09/2007,1508,40.88,-82.65,40.88,-82.65,"A storm survey was conducted and an EF0 tornado was confirmed in Shelby. The tornado touched down at a factory on the west side of the town.  The factory sustained some roof damage and had a masonary wall partially collapse.  From the factory, the tornado continued through residential neighborhoods causing only intermittent damage.  A couple dozen trees were downed along the damage path which was about three quarters of a mile long and no more than 20 yards in width.","A frontal boundary was oriented west to east across central Ohio. The surface frontal boundary, in combination with upper level atmospheric support, allowed for severe thunderstorms to develop across the region. Many of the thunderstorms that day were severe, and even a few tornadoes developed across northern Ohio.",9
55553,ASHLAND CO.,SULLIVAN,08/09/2007,1528,Tornado, ,EF1,0,0,1400000,0,OH,EST-5, ,9855,C,5,CLE,0,0,NWS Storm Survey, ,0.5,30,3,NE,3,NE,SULLIVAN,08/09/2007,1532,41.0556,-82.1961,41.0556,-82.1961,"A storm survey was conducted and an EF1 tornado was confirmed in northeastern Ashland County. The tornado touched down northeast of Sullivan along Black River School Road just to the west of the Medina County line.  Two school buildings were damaged by the tornado. One of the schools lost a section of roofing over a gymnasium. Sections of roofing along the remainder of the building were lifted and buckled by tornado winds. Significant amounts of rain water got into the building as a result of this roof damage. Water damage in the school was extensive and the gymnasium floor will need replacement. A modular building used as a classroom also sustained damage. Fences surrounding recreational fields at the school were also damaged. A house across the road from the schools was slightly damaged and a communication tower nearby was toppled. Many trees were downed. The tornado had a damage path around one half mile in length and about 30 yards in width.","A frontal boundary was oriented west to east across central Ohio. The surface frontal boundary, in combination with upper level atmospheric support, allowed for severe thunderstorms to develop across the region. Many of the thunderstorms that day were severe, and even a few tornadoes developed across northern Ohio.",10
